Catalogue Entry,Alternative Entries,Familiar Name,Right Ascension,Declination,Major Axis,Minor Axis,Magnitude,Name catalog,Name number,Type,Type Category,Constellation,Width ('),Height ('),Notes
IC 1848,,,02:51:10.59,+60:24:08.9,40.0,10.0,6.5,IC,1848,Star cluster + Nebula,nebulae,Cassiopeia,60.0,60.0,large_dso
IC 2177,,,07:04:36.91,-10:28:15.8,20.0,20.0,,IC,2177,Reflection Nebula,nebulae,Monoceros,120.0,120.0,large_dso
IC 2391,C 85,"Omicron Vel Cluster, omi Vel Cluster",08:40:31.88,-53:02:07.7,29.1,,2.5,IC,2391,Open Cluster,clusters,Vela,50.0,50.0,large_dso
IC 2599,,,10:37:27.09,-58:44:00.2,20.0,20.0,,IC,2599,HII Ionized region,nebulae,Carina,,,large_dso
IC 2602,C 102,"Theta Car Cluster, Southern Pleiades",10:42:57.47,-64:23:39.1,48.0,,,IC,2602,Open Cluster,clusters,Carina,50.0,50.0,large_dso
IC 2872,,,11:28:08.03,-62:59:20.2,15.14,6.03,,IC,2872,Nebula,nebulae,Centaurus,,,large_dso
IC 2944,,"lam Cen Nebula, lambda Cen nebula",11:35:46.93,-63:01:11.4,7.2,,,IC,2944,Star cluster + Nebula,nebulae,Centaurus,75.0,75.0,large_dso
IC 2948,,lambda Cen nebula,11:39:05.94,-63:26:37.9,6.0,,,IC,2948,Star cluster + Nebula,nebulae,Centaurus,60.0,60.0,large_dso
IC 4592,,,16:11:58.67,-19:27:16.8,60.0,40.0,,IC,4592,Reflection Nebula,nebulae,Scorpius,150.0,150.0,large_dso
IC 4601,,,16:20:17.80,-20:05:14.3,20.0,10.0,,IC,4601,Nebula,nebulae,Scorpius,20.0,20.0,large_dso
IC 4603,,,16:25:24.48,-24:28:06.1,20.0,5.0,,IC,4603,Nebula,nebulae,Ophiuchus,20.0,20.0,large_dso
