Name,Type,RA,Dec,Const,MajAx,MinAx,V-Mag,M,NGC,IC,Common names,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Catalog,Name_MIKE,Name (no leading zero),Name (final),NGC/ID,Type_MIKE,Common Name,Mag,RA_MIKE,Dec_MIKE,Width ('),Height ('),IC_MIKE,IC name_MIKE,NGC_MIKE,NGC name,mike,Notes
NGC3242,PN,10:24:46.08,-18:38:32.0,Hya,0.42,,7.7,,,,Jupiter's Ghost Nebula,NGC,3242,NGC 3242,,,3242,NGC,NGC 3242,NGC 3242,NGC 3242 = C 59,3242,Pl,Ghost of Jupiter,9,10:24:48,-17.37,20.8,20.8,,,3242,NGC 3242,True,large_dso
NGC3293,OCl,10:35:48.77,-58:13:28.1,Car,5.1,,4.7,,,,,NGC,3293,NGC 3293,,,3293,NGC,NGC 3293,NGC 3293,NGC 3293,3293,C+N,,4,10:35:48,-57.77,40.0,40.0,,,3293,NGC 3293,True,large_dso
NGC3372,HII,10:45:08.53,-59:52:00.1,Car,120.0,120.0,,,,,"Carina Nebula,eta Car Nebula",NGC,3372,NGC 3372,,,3372,Caldwell,C 092,C 92,C 92,3372,Bn,Eta Carinae Nebula,6.2,10:43:48,-59.87,120.0,120.0,,,3372,NGC 3372,True,large_dso
NGC3532,OCl,11:05:47.82,-58:46:13.8,Car,12.0,,3.0,,,,Wishing Well Cluster,NGC,3532,NGC 3532,,,3532,Caldwell,C 091,C 91,C 91,3532,Oc,,3,11:06:24,-58.67,55.0,55.0,,,3532,NGC 3532,True,large_dso
NGC3572,OCl,11:10:19.20,-60:14:54.1,Car,4.08,,6.6,,,,,NGC,3572,NGC 3572,,,3572,NGC,NGC 3572,NGC 3572,NGC 3572,3572,C+N,,6,11:10:24,-59.77,20.0,20.0,,,3572,NGC 3572,True,large_dso
NGC3576,HII,11:11:31.67,-61:21:46.8,Car,3.0,3.0,,,,,,NGC,3576,NGC 3576,,,3576,NGC,NGC 3576,NGC 3576,NGC 3576,3576,Nb,,,11:11:48,-60.62,20.0,20.0,,,3576,NGC 3576,True,large_dso
NGC3579,Neb,11:11:59.60,-61:14:35.6,Car,20.0,15.0,,,,,,NGC,3579,NGC 3579,,,3579,,,,,,,,,,,,,,,,,,large_dso
NGC4236,G,12:16:42.12,+69:27:45.3,Dra,23.5,6.85,9.77,,,,,NGC,4236,NGC 4236,,,4236,Caldwell,C 003,C 3,C 3,4236,Sb,,9.7,12:16:42,69.47,21.0,7.0,,,4236,NGC 4236,True,large_dso
NGC4258,G,12:18:57.50,+47:18:14.3,CVn,16.98,7.24,9.29,106,,,,M,4258,M 106,,,106,Messier,M 106,M 106,M 106,4258,Sp,,8.4,12:08:54,47.32,19.0,8.0,,,4258,NGC 4258,True,large_dso
NGC4372,GCl,12:25:45.38,-72:39:32.7,Mus,12.0,,9.85,,,,,NGC,4372,NGC 4372,,,4372,Caldwell,C 108,C 108,C 108,4372,Gc,,7.8,12:25:48,-72.67,19.0,19.0,,,4372,NGC 4372,True,large_dso
